employee_id,login_date,log_in_time,log_out_time
EMP007,2025-07-01,9:00 AM,6:00 PM
EMP007,2025-07-02,9:05 AM,6:10 PM
EMP007,2025-07-03,9:10 AM,6:05 PM
EMP007,2025-07-04,9:15 AM,6:00 PM
EMP007,2025-07-07,9:00 AM,6:00 PM
EMP007,2025-07-08,9:10 AM,2:00 PM
EMP007,2025-07-09,9:00 AM,5:30 PM
EMP002,2025-07-01,9:00 AM,6:00 PM
EMP002,2025-07-02,9:15 AM,5:15 PM
EMP002,2025-07-03,9:10 AM,1:00 PM
EMP002,2025-07-04,9:00 AM,6:00 PM
EMP002,2025-07-07,9:05 AM,5:45 PM
EMP008,2025-07-01,9:00 AM,6:00 PM
EMP008,2025-07-04,9:00 AM,1:30 PM
EMP004,2025-07-01,9:00 AM,6:00 PM
EMP004,2025-07-02,9:05 AM,6:10 PM
EMP004,2025-07-03,9:10 AM,6:05 PM
EMP004,2025-07-04,9:15 AM,6:00 PM
EMP005,2025-07-01,9:00 AM,6:00 PM
EMP005,2025-07-02,9:10 AM,5:30 PM
EMP005,2025-07-03,9:00 AM,6:00 PM
EMP006,2025-07-01,9:00 AM,12:00 PM
EMP006,2025-07-02,9:10 AM,1:30 PM